Id,Code,Name,NewSectorName,NewSubSectorName,NewIndustryName,NewSubIndustryName,SectorName,SubSectorName,BoardRecording,HeadOffice,Phone,RepresentativeName,WebsiteUrl,Address,TotalEmployees,ExchangeAdministration,Npwp,Npkp,IsActive,ListingDate,AnnualDividend,GeneralInformation,Fax,FoundingDate,CompanyEmail
11,ADMG,Polychem Indonesia Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,BASIC INDUSTRY AND CHEMICALS,Chemicals,1,Jakarta,(62-21) 5744848,Chandra Tjong // corporate@polychemindo.com	 // (021) 574 48 48,www.polychemindo.com,Gedung Wisma 46 Kota BNI Kav 1 LT. 20 JL Jend.Sudirman RT.010  RW.009  DKI JAKARTA 10220,,PT. Datindo Entrycom,01.326.008.8-092.000,,True,20 Okt 1993,0.0,"Polychem Indonesia Tbk (IDX: ADMG) adalah perusahaan yang memiliki bidang usaha utama di industri Kimia dan Tekstil, dengan memproduksi dan mengekspor barang Kimia Dasar. Pendapatan utama perusahaan berasal dari penjualan polyester, juga berasal dari Ethylene Glycol dan petrokimia. Adapun PT Gajah Tunggal Tbk (IDX: GJTL) tercatat memiliki porsi kepemilikan saham sebesar 26 persen di perusahaan yang beralamat kantor di Gedung Wisma 46 Kota BNI LT. 20 Jl Jend. Sudirman Kav 1 RT. 010 RW. 009 Karet Tengsin Tanah Abang Kota Adm. Jakarta Pusat DKI Jakarta 10220. Perusahaan resmi listing di BEI pada tanggal 20 Oktober 1993.",(62-21) 57945831-34,,corporate@polychemindo.com

1226,ADMR,Adaro Minerals Indonesia Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,MINING,Coal Mining,2,"Cyber 2 Tower Lantai 34, Jl. H.R. Rasuna Said Blok X-5, No.13 Jakarta Selatan 12950",(021) 2553 3060,Heri Gunawan // corsec@adarominerals.id // (021) 2553 3060,https://www.adarominerals.id/,-,-,PT. Ficomindo Buana Registrar.,02.672.163.9-063.000,-,True,03-Jan-2022,0.0,"PT Adaro Minerals Indonesia Tbk (IDX: ADMR) memiliki Bidang Usaha Utama di sector Pertambangan dan Energi dengan subsector Minyak, Gas & Batu Bara. Perusahaan yang digawangi Garibaldi Thohir sebagai Presiden Komisaris ini, adalah anak usaha dari PT Adaro Energy Indonesia Tbk (IDX: ADRO) dengan kepemilikan saham sebanyak 68, 55 persen atau sejumlah 28. 023. 450. 000 lembar saham. Perusahaan beralamat kantor di Cyber 2 Tower Lantai 34, Jl. H. R. Rasuna Said Blok X-5, No. 13 Jakarta Selatan 12950. Listing di BEI pada tanggal 03 Januari 2022.",(021) 2553 3059,2007,corsec@adarominerals.id

12,ADRO,Adaro Energy Indonesia Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,MINING,Coal Mining,1,Jakarta,021-25533000,Mahardika Putranto // mahardika.putranto@ptadaro.com  // (021) 25533000,www.adaro.com,"Menara Karya 23rd Floor Jl. H.R. Rasuna Said, Block X-5, Kav. 1-2 Jakarta 12950",,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,00.000.000.0-000.000,,True,16 Jul 2008,0.0,"Adaro Energy Indonesia Tbk (IDX: ADRO) merupakan perusahaan ternama di industry pertambangan di tanah Air. Perusahaan memiliki bidang usaha utama di sector Pertambangan Batubara (Coal Mining). Ada nama Garibaldi Thohir pada posisi Presiden Direktur; Michael William P. Soeryadjaya pada posisi Direktur dan Edwin Soeryadjaya di posisi Presiden Komisaris. Perusahaan yang listing di BEI pada tanggal 16 Juli 2008 ini, adalah induk usaha dari PT Adaro Minerals Indonesia Tbk (IDX: ADMR). Perusahaan beralamat kantor di Menara Karya 23rd Floor Jl. H. R. Rasuna Said, Block X-5, Kav. 1-2 Jakarta 12950.",021-5211266,,mahardika.putranto@ptadaro.com ; aditya.sudjono@ptadaro.com

1114,AGAR,Asia Sejahtera Mina Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas","TRADE, SERVICES, & INVESTMENT",Wholesale (Durable & Non Durable Goods),2,"Dr. Makaliwe Raya No. 16B, RT.008, RW.004 Grogol Petamburan, Jakarta Barat",(021) 21192523,Agnes Kristina // nes@asiamina.com // (021) 21192523,http://www.asiamina.com/,-,-,PT. Sharestar Indonesia,02.881.392.1-036.000,-,True,02-Des-2019,0.0,"PT Asia Sejahtera Mina Tbk (IDX: AGAR) adalah perusahaan yang memiliki bidang usaha utama di bidang perdagangan dan industri rumput laut. Pendapatan utama perusahaan berasal dari Produk Makanan Pertanian seperti Ikan, Daging & Produk Unggas. Emiten sektor Barang Konsumen Primer ini, beralamat kantor di Dr. Makaliwe Raya No. 16B, RT. 008, RW. 004 Grogol Petamburan, Jakarta Barat. Listing di BEI pada tanggal 02 Desember 2019.",(021) 21192523,2008,admin@asiamina.com

955,AGII,Samator Indo Gas Tbk.,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,BASIC INDUSTRY AND CHEMICALS,Chemicals,1,Jakarta Selatan,021 - 83709111,Rachmat Harsono,www.anekagas.com,"Gedung UGM - Samator Pendidikan Tower A Lantai 5-6  Jl. Dr. Sahardjo No. 83, Manggarai Tebet, Jakarta Selatan 12850",,-,01.002.124.4-038.000,,True,28 Sep 2016,0.0,"PT Aneka Gas Industri Tbk (IDX: AGII) memiliki bidang usaha utama memproduksi, memasarkan dan menjual berbagai macam gas untuk industri dan produk-produk terkait di Republik Indonesia dalam bentuk gas, cair ataupun padat. Tercatat, PT Saratoga Investama Sedaya (IDX: SRTG) memiliki persentase saham sebanyak 10 persen. Listing di BEI pada tanggal 28 September 2016. Perusahaan beralamat kantor di Gedung UGM - Samator Pendidikan Tower A Lantai 5-6 Jl. Dr. Sahardjo No. 83, Manggarai Tebet, Jakarta Selatan 12850.",021 - 83709911,1916,corsec@anekagas.com

13,AGRO,Bank Raya Indonesia Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,1,Jakarta Selatan,021-79199980,Hirawan Nur Kustono // hirawan@bankagro.co.id // 021-5262570,www.briagro.co.id,Gedung BRI AGRO Jl.Warung Jati Barat No.139  (d/h Jl.Mampang Prapatan Raya No.139 A) Jaksel 12740,631,PT. Datindo Entrycom,01.347.428.3-018.000,,True,08 Agt 2003,0.0,"PT Bank Raya Indonesia Tbk IDX: AGRO), emiten sektor keuangan ini beralamat kantor di Gedung Bank Raya Jl. Warung Jati Barat No. 139 (d/h Jl. Mampang Prapatan Raya No. 139 A) Jaksel 12740. Perusahaan memiliki bidang usaha utama yang bergerak disektor perbankan. Adapun sebagai pemegang saham pengendali adalah PT. Bank Rakyat Indonesia (Persero) Tbk (IDX: BBRI) dengan persentase kepemilikan saham sebanyak 85, 721 persen atau sejumlah 19. 498. 475. 601 lembar saham. Perusahaan listing di BEI tanggal 08 Agustus 2003.",021-79199950,27-Sep-1989,corpsec@briagro.co.id

14,AGRS,Bank IBK Indonesia Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,2,Jakarta,+62 21 5790 8888,Ita Hidayati // corsec@bankagris.com // +62 21 5790 8888,www.bankagris.co.id,"Wisma GKBI Suite UG-01 Jl. Jend. Sudirman No. 28 Jakarta 10210 Indonesia",-,PT. Adimitra Jasa Korpora,01.311.830.2-073.000,-,True,22 Des 2014,0.0,"PT Bank IBK Indonesia Tbk (IDX: AGRS) adalah perusahaan yang memiliki Bidang Usaha Utama yang bergerak di bidang Perbankan. Emiten sektor Keuangan ini listing di BEI pada tanggal 22 Desember 2014. Menariknya, Industrial Bank of Korea menjadi pemegang saham pengendali dengan persentase kepemilikan sebanyak 91, 34 persen atau sejumlah 16. 136. 453. 295 lembar saham. Perusahaan beralamat kantor di Wisma GKBI Suite UG-01 Jl. Jend. Sudirman No. 28 Jakarta 10210.",+62 21 5790 6888,13 November 1973,corsec@bankagris.co.id

15,AHAP,Asuransi Harta Aman Pratama Tbk.,Keuangan,Asuransi,Asuransi,Asuransi Umum,FINANCE,Insurance,2,Jakarta,"634 8760, 384 5678",Sutjianta	 // harta@asuransi-harta.co.id // (021) 6348760,www.asuransi-harta.co.id,Jl. Balikpapan Raya No. 9 Jakarta,,PT. Datindo Entrycom,01.360.902.9-054.000,,True,14 Sep 1990,0.0,"PT Asuransi Harta Aman Pratama Tbk (IDX: AHAP) adalah perusahaan yang memiliki Bidang Usaha Utama Asuransi Kerugian. Emiten sektor Keuangan ini juga menawarkan Asuransi Umum. Sebagai pemegang saham pengendali adalah PT ASURANSI CENTRAL ASIA dengan persentase kepemilikan sebanyak 62, 148 persen atau sejumlah 1. 827. 142. 432 lembar saham. Perusahaan yang listing di BEI pada tanggal 14 September 1990, beralamat kantor di Wisma 46 Kota BNI Lantai 33, Jl. Jend. Sudirman Kav. 1 Karet Tengsin Tanah Abang Jakarta Pusat 10220.","6386 4480, 6386 4545",,harta@asuransi-harta.co.id

16,AIMS,Akbar Indo Makmur Stimec Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,"TRADE, SERVICES, & INVESTMENT",Wholesale (Durable & Non Durable Goods),2,Jakarta Pusat,(021) 2934 7999,Rudy Herman // herman.rudy@yahoo.com // 021 5208000,0,"Plaza Chase Lt. 20 Jl. Jend. Sudirman Kav. 21, Jakarta Selatan 12920",,PT. Sinartama Gunita,01.820.068.3-054.000,,True,20 Jul 2001,0.0,"PT Akbar Indomakmur Stimec Tbk (IDX: AIMS) adalah perusahaan dengan Bidang Usaha Utama Perdagangan Umum dan Distribusi. Emiten sektor energi ini, menjalankan usaha perdagangan Minyak, Gas dan Batu Bara. PT. Aims Indo Investama sebagai pengendali dengan persentase kepemilikan saham sebanyak 77, 27 persen atau sejumlah 169. 999. 890 lembar saham. Perusahaan listing di BEI pada tanggal 20 Juli 2001 dan beralamat kantor di Jl. Cipaku 1 No. 3, RT/RW 002/004, Kel. Petogogan Kec. Kebayoran Baru, Jakarta Selatan DKI 12170.",(021) 520 8400,,corpsec@aims.co.id

17,AISA,FKS Food Sejahtera Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,CONSUMER GOODS INDUSTRY,Food & Beverages,1,Jakarta Selatan,021-782 2425,Ricky Tjie // corporate.secretary@tigapilar.com // 021-57956768,www.tigapilar.com,"Beltway Office Park Tower A Lt.5, Jalan Ampera Raya No.9-10, Jakarta Selatan, 12550",,-,01.504.513.1-054.000,,True,11 Jun 1997,0.0,"PT FKS Food Sejahtera Tbk (IDX: AISA) merupakan perusahaan yang memiliki bidang usaha utama di Industri Mie. Emiten ini masuk kategori sektor Barang Konsumen Primer, dan bergelut di industri makanan olahan. Produk yang terkenal dipasaran yaitu snack merek TARO, AYAM JAGO dan permen GULAS. Perusahaan tercatat di BEI pada tanggal 11 Juni 1997, dan beralamat di Menara Astra Lantai 29, Jalan Jend. Sudirman Kav 5-6, Karet Tengsin, Jakarta Pusat 10220. Perusahaan juga memiliki beberapa anak usaha, salah satunya PT. Tiga Pilar Sejahtera yang bergerak di Industri dan Perdagangan Mie.",021-782 2426,,-

18,AKKU,Anugerah Kagum Karya Utama Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar","TRADE, SERVICES, & INVESTMENT","Restaurant, Hotel And Tourism",2,Jakarta Pusat,021-31934699,Roni Supriatna // corsec@anugerahkagum.com // 021-7205426,www.akku.co.id,"Plaza Indosurya Penthouse (Lantai 13), Jalan M.H. Thamrin Kav 8 - 9, Jakarta Pusat 10230",215,PT. Adimitra Jasa Korpora,02.038.425.1-054.000,-,True,01 Nov 2004,0.0,"PT Anugerah Kagum Karya Utama Tbk (IDX: AKKU) memiliki bidang usaha utama di Industri Kemasan Plastik. Namun demikian, emiten yang masuk kategori sector Barang Konsumen Non-Primer ini, dikenal masyarakat lewat brand Kagum Hotel, dan mengantongi pendapatan dari tiga lini anak usaha, yakni yang bergerak di real estate, jasa manajemen hotel dan Zodiak Store. Anugerah Kagum juga terus memperkuat bisnis jasa manajemen hotel. Mereka melaju lewat anak perusahaan bernama PT Permata Nusantara Hotelindo. Anak perusahaan tersebut kini mengelola lebih dari 30 hotel milik perusahaan lain. Perusahaan listing di BEI pada tanggal 01 November 2004, dan beralamat kantor di Grand Asia Afrika Residence, Commercial Area A-10, Jl. Karapitan No. 1, Paledang, Lengkong, Bandung, Jawa Barat 40261.",021-31934698,05 April 2001,info@akku-tbk.net

19,AKPI,Argha Karya Prima Industry Tbk.,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus,BASIC INDUSTRY AND CHEMICALS,Plastics & Packaging,2,Jawa Barat,021-8572707,Tjoe Mun Lie // corporate.arghakarya@arghakarya.com // (021) 8752707,http://www.arghakarya.com,"Jl. Pahlawan, Karang Asem  Citeureup 16810  Bogor",,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,01.000.863.9-054.000,,True,18 Des 1992,0.0,"PT Argha Karya Prima Ind. Tbk (IDX: AKPI) adalah perusahaan yang memiliki bidang usaha utama Plastics and Packaging. Emiten produsen kemasan plastik ini bergerak dalam bidang flexible packaging yang telah beroperasi sejak 1982 (30 tahun) dan sudah bersertifikat ISO 9001: 2015. Produk utamanya adalahberbentuk lembaran plastic film berbagai ukuran dan type, yang diolah oleh perusahaan pembeli menjadi berbagai bentuk kemasan seperti pembungkus makanan, kosmetik, rokok, dll. Saat ini, perusahaan memiliki kapasitas produksi sebesar 124. 000 ton per tahun untuk pelanggan lokal dan 50 negara di seluruh dunia. Perusahaan yang listing di BEI pada tanggal 18 Desember 1992 ini, beralamat di Jl. Pahlawan, Karang Asem Citeureup 16810 Bogor.","021-87902024, 8764155",,theo@arghakarya.com

20,AKRA,AKR Corporindo Tbk.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,"TRADE, SERVICES, & INVESTMENT",Wholesale (Durable & Non Durable Goods),1,Jakarta Barat,(021) 531 1110,Ricardo Silaen // ricardo.silaen@akr.co.id // 021-5311110,www.akr.co.id,"Wisma AKR, LAntai 7-8, Jl. Panjang No. 5 Kebon Jeruk, Jakarta",,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,01.132.905.9-054.000,,True,03 Okt 1994,0.0,"PT AKR Corporindo Tbk (IDX: AKRA) merupakan perusahaan swasta nasional pertama yang mendistribusikan bahan bakar subsidi, hingga BPH Migas menunjuk emiten ini untuk BBM Subsidi. Adapun kegiatan usaha utama perusahaan adalah Distribusi produk bahan bakar minyak (BBM) ke pasar industri, distribusi dan perdagangan bahan kimia (seperti caustic soda, sodium sulfat, PVC resin dan soda ash) yang digunakan oleh berbagai industri di Indonesia sesuai dengan perjanjian dengan distribusi dengan produsen asing dan lokal, penyewaan gudang, kendaraan angkutan, tangki dan jasa logistik lainnya. Emiten yang listing di BEI pada tanggal 03 Oktober 1994 ini beralamat kantor di AKR Tower Lt. 26, Jl. Panjang No. 5 Kebon Jeruk, Jakarta Barat 11530.",(021) 531 11128,,suresh@akr.co.id

21,AKSI,Mineral Sumberdaya Mandiri Tbk.,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,"INFRASTRUCTURE, UTILITIES & TRANSPORTATION",Transportation,2,Jakarta Pusat,021-23586378,Doddy Hermawan // doddyhermawan@majapahitinticorpora.co.id // (021) 23586378,www.majapahitinticorpora.co.id,"Gedung Jaya Lantai 5, Jl.MH Thamrin No.12 Kel.Kebon Sirih Kec.Menteng Jakarta Pusat 10340",,PT. Sinartama Gunita,01.349.129.5-054.000,,True,13 Jul 2001,0.0,"PT Mineral Sumberdaya Mandiri Tbk (IDX: AKSI) memiliki bidang usaha utama sebagai Securities Company. Emiten ini masuk kategori sector Transportasi & Logistik, yang mana entitas anak, PT REZKI BATULICIN TRANSPORT memiliki usaha di sektor Pengangkutan Darat. Adapun perusahaan melakukan listing di BEI pada tanggal 13 Juli 2001. Alamat kantor saat ini di District 8, Treasury Tower Lantai 52, SCBD Lot 28, Jl. Jenderal Sudirman Kav 52-53, RT08 RW 06, Kel. Senayan, Kec. Kebayoran Baru, Jakarta Selatan 12190.",021-23586349,,corporate@majapahitinticorpora.co.id

